@relation  iris
@attribute sepalLength {0,1,2}
@attribute sepalWidth {0,1,2}
@attribute petalLength {0,1,2}
@attribute petalWidth {0,1,2}
@attribute class{Iris-setosa,Iris-virginica}
@inputs sepalLength,sepalWidth,petalLength,petalWidth
@outputs class
@data
0,1,0,0,Iris-setosa
0,1,0,0,Iris-setosa
0,1,0,0,Iris-setosa
0,1,0,0,Iris-setosa
0,2,0,0,Iris-setosa
0,1,0,0,Iris-setosa
0,1,0,0,Iris-setosa
0,1,0,0,Iris-setosa
0,2,0,0,Iris-setosa
0,1,0,0,Iris-setosa
0,1,0,0,Iris-setosa
0,1,0,0,Iris-setosa
1,2,0,0,Iris-setosa
0,2,0,0,Iris-setosa
0,1,0,0,Iris-setosa
1,2,0,0,Iris-setosa
0,2,0,0,Iris-setosa
0,1,0,0,Iris-setosa
0,2,0,0,Iris-setosa
0,1,0,0,Iris-setosa
0,1,0,0,Iris-setosa
0,1,0,0,Iris-setosa
0,1,0,0,Iris-setosa
0,1,0,0,Iris-setosa
0,1,0,0,Iris-setosa
0,1,0,0,Iris-setosa
0,1,0,0,Iris-setosa
0,1,0,0,Iris-setosa
0,1,0,0,Iris-setosa
0,2,0,0,Iris-setosa
1,2,0,0,Iris-setosa
0,1,0,0,Iris-setosa
0,1,0,0,Iris-setosa
1,1,0,0,Iris-setosa
0,1,0,0,Iris-setosa
0,1,0,0,Iris-setosa
0,1,0,0,Iris-setosa
0,1,0,0,Iris-setosa
0,0,0,0,Iris-setosa
0,2,0,0,Iris-setosa
0,1,0,0,Iris-setosa
0,2,0,0,Iris-setosa
0,1,0,0,Iris-setosa
0,2,0,0,Iris-setosa
0,1,0,0,Iris-setosa
1,1,2,2,Iris-virginica
1,0,2,2,Iris-virginica
2,1,2,2,Iris-virginica
1,1,2,2,Iris-virginica
1,1,2,2,Iris-virginica
2,1,2,2,Iris-virginica
0,0,1,2,Iris-virginica
2,1,2,2,Iris-virginica
2,0,2,2,Iris-virginica
2,1,2,2,Iris-virginica
1,1,2,2,Iris-virginica
1,0,2,2,Iris-virginica
2,1,2,2,Iris-virginica
1,0,2,2,Iris-virginica
1,0,2,2,Iris-virginica
1,1,2,2,Iris-virginica
2,2,2,2,Iris-virginica
1,0,2,2,Iris-virginica
2,0,2,2,Iris-virginica
1,0,2,2,Iris-virginica
2,1,2,2,Iris-virginica
2,1,2,2,Iris-virginica
1,1,2,2,Iris-virginica
1,0,2,2,Iris-virginica
2,1,2,1,Iris-virginica
2,0,2,2,Iris-virginica
2,2,2,2,Iris-virginica
1,0,2,2,Iris-virginica
1,0,2,1,Iris-virginica
1,0,2,1,Iris-virginica
2,1,2,2,Iris-virginica
1,1,2,2,Iris-virginica
1,1,2,2,Iris-virginica
1,1,1,2,Iris-virginica
2,1,2,2,Iris-virginica
2,1,2,2,Iris-virginica
2,1,2,2,Iris-virginica
1,0,2,2,Iris-virginica
2,1,2,2,Iris-virginica
2,1,2,2,Iris-virginica
2,1,2,2,Iris-virginica
1,0,2,2,Iris-virginica
1,1,2,2,Iris-virginica
1,1,2,2,Iris-virginica
1,1,2,2,Iris-virginica
