TP,FP,FN,TN
17,0,0,0
0,0,0,15
0,0,0,101
0,0,0,122
0,0,0,131
0,0,0,67
0,0,0,3
0,0,0,4
0,0,0,0
0,0,0,15
0,0,0,15
0,0,0,2
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,4
0,0,0,5
0,0,0,0
0,0,0,7
0,0,0,0
0,0,0,5
0,0,0,0
0,0,0,10
0,0,0,4
0,0,0,3
0,0,0,0
0,0,0,0
0,0,0,3
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,3
0,0,0,0
0,0,0,0
0,0,0,15
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,15
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,15
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,4
0,0,0,5
0,0,0,0
0,0,0,10
0,0,0,15
0,0,0,0
0,0,0,3
0,0,0,2
0,0,0,3
0,0,0,8
0,0,0,18
0,0,0,8
0,0,0,3
0,0,0,3
0,0,0,18
0,0,0,4
0,0,0,18
0,0,0,1
0,0,0,16
0,0,0,3
0,0,0,18
0,0,0,3
0,0,0,18
0,0,0,3
0,0,0,3
0,0,0,0
0,0,0,1
0,0,0,15
0,0,0,4
0,0,0,3
0,0,0,4
0,0,0,8
0,0,0,19
0,0,0,9
0,0,0,4
0,0,0,4
0,0,0,19
0,0,0,4
0,0,0,19
0,0,0,2
0,0,0,16
0,0,0,3
0,0,0,19
0,0,0,4
0,0,0,19
0,0,0,4
0,0,0,4
2,0,0,0
0,0,0,6
0,0,0,6
2,0,0,0
0,0,0,4
0,0,0,10
1,0,0,0
0,0,0,5
0,0,0,1
0,0,0,0
0,0,0,5
0,0,0,5
1,0,0,0
0,0,0,2
0,0,0,0
0,0,0,2
0,0,0,0
0,0,0,2
0,0,0,0
0,0,0,0
0,0,0,0
0,2,0,0
0,0,0,0
0,0,0,2
0,0,0,5
0,0,1,2
0,0,0,0
1,0,0,0
0,0,1,5
1,0,0,0
0,0,1,5
1,0,0,0
1,0,0,0
1,0,0,0
1,5,0,0
1,0,0,0
0,0,0,4
0,0,0,5
0,0,0,0
0,0,1,5
0,0,1,5
0,0,1,5
0,0,1,5
0,0,0,5
1,0,0,0
0,0,0,5
0,0,0,10
0,0,0,4
0,0,0,0
0,0,0,10
0,0,1,10
0,0,0,10
0,0,1,10
0,0,0,3
0,0,0,10
0,0,1,3
0,0,0,5
0,0,0,7
0,0,1,10
0,0,1,10
0,0,1,10
0,0,1,10
0,0,0,10
2,0,0,0
0,0,0,0
2,5,0,0
2,5,0,0
2,0,0,0
2,5,0,0
1,2,0,0
1,2,0,0
0,0,0,0
1,0,0,0
2,0,0,0
0,0,2,5
2,0,0,0
0,0,2,5
1,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,5,0,0
2,0,0,0
0,0,0,10
0,0,0,0
2,10,0,0
0,0,0,21
2,0,0,0
0,0,0,4
0,0,0,25
0,0,0,3
4,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
0,0,0,1
0,0,0,1
0,0,0,0
0,0,0,1
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,1
0,0,0,0
0,0,0,1
0,0,0,1
0,0,0,0
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
1,0,0,0
0,0,0,1
0,0,0,1
1,0,0,0
2,0,0,0
2,0,0,0
0,0,0,0
1,0,0,0
0,0,2,0
0,0,0,0
0,0,2,0
1,0,0,0
3,0,0,0
3,0,0,0
0,0,0,0
1,0,0,0
0,0,3,1
0,0,0,0
0,0,3,1
0,0,0,1
0,0,0,2
0,0,0,1
0,0,3,2
0,0,0,2
0,0,2,1
0,0,3,2
0,0,0,0
0,0,3,2
0,0,3,2
0,0,3,2
0,0,0,1
1,0,0,0
0,0,0,2
3,0,0,0
0,0,0,1
0,0,0,1
0,0,0,0
0,0,0,1
0,1,0,0
0,0,0,0
0,1,0,0
0,0,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,0,0,0
0,0,0,1
0,1,0,0
2,0,0,0
0,0,0,1
5,1,0,0
2,0,0,0
5,1,0,0
3,0,0,0
5,1,0,0
2,0,0,0
5,1,0,0
5,1,0,0
5,0,0,0
0,0,0,2
5,2,0,0
0,0,0,1
2,0,0,0
0,0,0,2
3,0,0,0
2,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,0
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,0
0,0,0,1
0,0,0,1
